location,salary_min,salary_max,category,company
"Chennai, Tamil Nadu",,,IT Jobs,"Caterpillar, Inc."
"Chennai, Tamil Nadu",,,Accounting & Finance Jobs,ICON Clinical Research
"Chennai, Tamil Nadu",,,IT Jobs,Comcast
"Chennai, Tamil Nadu",,,IT Jobs,Pearson
"Chennai, Tamil Nadu",,,IT Jobs,UPS
"Chennai, Tamil Nadu",,,Accounting & Finance Jobs,YipitData
"Chennai, Tamil Nadu",,,IT Jobs,Acura Solution
"Chennai, Tamil Nadu",,,Engineering Jobs,ADCI MAA 15 SEZ
"Chennai, Tamil Nadu",,,IT Jobs,UPS
"Chennai, Tamil Nadu",,,IT Jobs,Amazon
"Chennai, Tamil Nadu",,,IT Jobs,Amazon
"Chennai, Tamil Nadu",,,IT Jobs,Amazon
"Chennai, Tamil Nadu",,,IT Jobs,UPS
"Chennai, Tamil Nadu",,,IT Jobs,UPS
"Chennai, Tamil Nadu",,,"PR, Advertising & Marketing Jobs",Trimble
"Chennai, Tamil Nadu",,,IT Jobs,IGT
"Chennai, Tamil Nadu",,,IT Jobs,Cognizant
"Chennai, Tamil Nadu",1000000.0,1500000.0,IT Jobs,Praveza Consultancy Private Limited
"Chennai, Tamil Nadu",,,IT Jobs,Pearson
"Chennai, Tamil Nadu",,,IT Jobs,Citigroup
"Chennai, Tamil Nadu",,,IT Jobs,RELX INC
"Chennai, Tamil Nadu",,,IT Jobs,Cognizant
"Chennai, Tamil Nadu",,,IT Jobs,Cognizant
"Chennai, Tamil Nadu",,,IT Jobs,UNIMORPH CONSULTING LLP
"Chennai, Tamil Nadu",,,IT Jobs,Amazon
"Chennai, Tamil Nadu",,,Accounting & Finance Jobs,Trimble
"Chennai, Tamil Nadu",,,IT Jobs,Hapag-Lloyd
"Chennai, Tamil Nadu",,,IT Jobs,Bank of America
"Chennai, Tamil Nadu",500000.0,3000000.0,IT Jobs,netmedscom
"Chennai, Tamil Nadu",,,IT Jobs,Cognizant
"Chennai, Tamil Nadu",,,IT Jobs,Cognizant
"Injambakkam, Chennai",,,IT Jobs,Cassini Systems
"Chennai, Tamil Nadu",900000.0,1000000.0,IT Jobs,Optiblack
"Chennai, Tamil Nadu",,,IT Jobs,Kyndryl
"Chennai, Tamil Nadu",,,IT Jobs,Amazon
"Chennai, Tamil Nadu",,,IT Jobs,Wipro Limited
"Chennai, Tamil Nadu",400000.0,1600000.0,IT Jobs,NovacisDigital
"Chennai, Tamil Nadu",,,IT Jobs,Lloyd's List Intelligence
